date,workload
2022-12-24,1254184.0
2022-12-25,488438.0
2022-12-26,1015885.0
2022-12-27,631533.0
2022-12-28,1782409.0
2022-12-29,737210.0
2022-12-30,1529525.0
2022-12-31,1105921.0
2023-01-01,430722.0
2023-01-02,929788.0
2023-01-03,469934.0
2023-01-04,1639211.0
2023-01-05,756262.0
2023-01-06,1531696.0
2023-01-07,756133.0
2023-01-08,2156968.0
2023-01-09,258665.0
2023-01-10,16456507.0
2023-01-11,971642.0
2023-01-12,1169794.0
2023-01-13,426674.0
2023-01-14,1091352.0
2023-01-15,383976.0
2023-01-16,774564.0
2023-01-17,374302.0
2023-01-18,620768.0
2023-01-19,838247.0
2023-01-20,329751.0
2023-01-21,851464.0
2023-01-22,794607.0
2023-01-23,599965.0
2023-01-24,540165.0
2023-01-25,671213.0
2023-01-26,762843.0
2023-01-27,677700.0
2023-01-28,194046.0
2023-01-29,336294.0
2023-01-30,484431.0
2023-01-31,505982.0
2023-02-01,241503.0
